"country","ISO_Code","year","fertility","lookup","female_employment","female_high_edu","va_democracy","live_with_parents_husband","gdp_per_cap","Region","Latitude","live_with_parents_wife","parents_hus_wife"
"Angola","AGO","X1991",7.208,"X1991 AGO",48.32309481,NA,NA,NA,6.76353003,"Africa",-8.8383,NA,NA
"Angola","AGO","X1992",7.138,"X1992 AGO",48.35353872,NA,NA,NA,6.486712094,"Africa",-8.8383,NA,NA
"Angola","AGO","X1993",7.065,"X1993 AGO",48.33671678,NA,NA,NA,6.089499813,"Africa",-8.8383,NA,NA
"Angola","AGO","X1994",6.99,"X1994 AGO",48.40423142,NA,NA,NA,5.795064232,"Africa",-8.8383,NA,NA
"Angola","AGO","X1995",6.918,"X1995 AGO",48.51721192,NA,NA,NA,5.984388196,"Africa",-8.8383,NA,NA
"Angola","AGO","X1996",6.851,"X1996 AGO",48.612769,NA,0.08925,NA,6.258900175,"Africa",-8.8383,NA,NA
"Angola","AGO","X1997",6.789,"X1997 AGO",48.71227471,NA,NA,NA,6.242797465,"Africa",-8.8383,NA,NA
"Angola","AGO","X1998",6.732,"X1998 AGO",48.81754198,0.44855,0.08925,NA,6.048774647,"Africa",-8.8383,NA,NA
"Angola","AGO","X1999",6.683,"X1999 AGO",48.92032869,0.38598,NA,NA,5.960449298,"Africa",-8.8383,NA,NA
"Angola","AGO","X2000",6.639,"X2000 AGO",49.02418502,NA,0.08925,NA,6.322271333,"Africa",-8.8383,NA,NA
"Angola","AGO","X2001",6.601,"X2001 AGO",49.09795851,NA,NA,NA,6.26783323,"Africa",-8.8383,NA,NA
"Angola","AGO","X2002",6.567,"X2002 AGO",49.19827101,0.5643,0.08925,NA,6.771356341,"Africa",-8.8383,NA,NA
"Angola","AGO","X2003",6.533,"X2003 AGO",49.27707639,NA,0.08925,NA,6.890569342,"Africa",-8.8383,NA,NA
"Angola","AGO","X2004",6.499,"X2004 AGO",49.37778419,NA,0.15175,NA,7.135340189,"Africa",-8.8383,NA,NA
"Angola","AGO","X2005",6.461,"X2005 AGO",49.48595087,NA,0.21425,NA,7.550883272,"Africa",-8.8383,NA,NA
