"country","ISO_Code","year","fertility","lookup","female_employment","female_high_edu","va_democracy","live_with_parents_husband","gdp_per_cap","Region","Latitude","live_with_parents_wife","parents_hus_wife"
"Argentina","ARG","X1991",2.965,"X1991 ARG",39.86867071,NA,NA,NA,8.654405857,"America",-34.6025,NA,NA
"Argentina","ARG","X1992",2.925,"X1992 ARG",40.3303514,NA,NA,NA,8.828133328,"America",-34.6025,NA,NA
"Argentina","ARG","X1993",2.879,"X1993 ARG",40.81169341,NA,NA,NA,8.849243966,"America",-34.6025,NA,NA
"Argentina","ARG","X1994",2.828,"X1994 ARG",41.18691795,NA,NA,NA,8.920407726,"America",-34.6025,NA,NA
"Argentina","ARG","X1995",2.773,"X1995 ARG",41.17601991,NA,NA,NA,8.910411376,"America",-34.6025,NA,NA
"Argentina","ARG","X1996",2.718,"X1996 ARG",41.52410267,NA,0.42525,NA,8.951745087,"America",-34.6025,NA,NA
"Argentina","ARG","X1997",2.666,"X1997 ARG",41.96489534,NA,NA,NA,9.013489031,"America",-34.6025,NA,NA
"Argentina","ARG","X1998",2.618,"X1998 ARG",42.21490092,NA,0.42525,NA,9.022745624,"America",-34.6025,NA,NA
"Argentina","ARG","X1999",2.577,"X1999 ARG",42.13006926,60.06247,NA,NA,8.958634808,"America",-34.6025,NA,NA
"Argentina","ARG","X2000",2.542,"X2000 ARG",42.13507976,65.00862,0.42525,NA,8.950027132,"America",-34.6025,NA,NA
"Argentina","ARG","X2001",2.512,"X2001 ARG",41.99141306,69.8558,NA,NA,8.882998347,"America",-34.6025,NA,NA
"Argentina","ARG","X2002",2.486,"X2002 ARG",41.51001719,74.50172,0.55025,NA,7.860726635,"America",-34.6025,NA,NA
"Argentina","ARG","X2003",2.461,"X2003 ARG",41.84634551,77.94868,0.55025,NA,8.11665775,"America",-34.6025,NA,NA
"Argentina","ARG","X2004",2.438,"X2004 ARG",42.18623292,76.45075,0.61275,NA,8.361175752,"America",-34.6025,NA,NA
"Argentina","ARG","X2005",2.416,"X2005 ARG",41.84533888,75.46853,0.61275,NA,8.538925588,"America",-34.6025,NA,NA
