"country","ISO_Code","year","fertility","lookup","female_employment","female_high_edu","va_democracy","live_with_parents_husband","gdp_per_cap","Region","Latitude","live_with_parents_wife","parents_hus_wife"
"Afghanistan","AFG","X1991",7.479,"X1991 AFG",15.61574845,NA,NA,NA,NA,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X1992",7.502,"X1992 AFG",15.53842641,NA,NA,NA,NA,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X1993",7.535,"X1993 AFG",15.42882123,NA,NA,NA,NA,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X1994",7.572,"X1994 AFG",15.34800504,NA,NA,NA,NA,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X1995",7.606,"X1995 AFG",15.3578166,NA,NA,NA,NA,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X1996",7.629,"X1996 AFG",15.20490778,NA,NA,NA,NA,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X1997",7.632,"X1997 AFG",15.09044956,NA,NA,NA,NA,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X1998",7.61,"X1998 AFG",15.02707107,NA,NA,NA,NA,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X1999",7.561,"X1999 AFG",14.99231581,NA,NA,NA,NA,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X2000",7.485,"X2000 AFG",14.95564408,NA,NA,NA,NA,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X2001",7.387,"X2001 AFG",15.06195778,NA,NA,NA,NA,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X2002",7.272,"X2002 AFG",15.20136116,NA,NA,NA,5.189766272,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X2003",7.148,"X2003 AFG",15.35322387,0.51657,NA,NA,5.250616634,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X2004",7.016,"X2004 AFG",15.51301586,0.51396,0.18425,NA,5.353667476,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X2005",6.875,"X2005 AFG",15.6859347,NA,0.18425,NA,5.489066994,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X2006",6.722,"X2006 AFG",15.53422822,NA,0.18425,NA,5.57493985,"Asia/Pacific",34.5167,NA,NA
"Afghanistan","AFG","X2007",6.555,"X2007 AFG",15.4026906,NA,0.306,29.6,5.88525155,"Asia/Pacific",34.5167,1.24,15.42
"Afghanistan","AFG","X2008",6.373,"X2008 AFG",15.3164925,NA,0.302,30.6,5.898967455,"Asia/Pacific",34.5167,1.23,15.915
"Afghanistan","AFG","X2009",6.18,"X2009 AFG",15.29997403,1.41213,0.18225,31.5,6.08239249,"Asia/Pacific",34.5167,1.21,16.355
"Afghanistan","AFG","X2010",5.977,"X2010 AFG",15.3669711,NA,0.15525,32.4,6.297667252,"Asia/Pacific",34.5167,1.2,16.8
"Afghanistan","AFG","X2011",5.77,"X2011 AFG",15.70325197,1.82724,0.15525,33.3,6.382091375,"Asia/Pacific",34.5167,1.19,17.245
"Afghanistan","AFG","X2012",5.562,"X2012 AFG",16.11402243,NA,0.15525,34.2,6.464388095,"Asia/Pacific",34.5167,1.17,17.685
"Afghanistan","AFG","X2013",5.359,"X2013 AFG",16.95932204,NA,0.15525,35.1,6.45702947,"Asia/Pacific",34.5167,1.16,18.13
"Afghanistan","AFG","X2014",5.163,"X2014 AFG",17.84825715,3.48702,0.16975,36.1,6.419761496,"Asia/Pacific",34.5167,1.14,18.62
"Afghanistan","AFG","X2015",4.976,"X2015 AFG",18.78620817,NA,0.16975,37,6.360380382,"Asia/Pacific",34.5167,1.13,19.065
"Afghanistan","AFG","X2016",4.8,"X2016 AFG",19.81767613,NA,0.15875,37.9,6.304865736,"Asia/Pacific",34.5167,1.12,19.51
"Afghanistan","AFG","X2017",4.633,"X2017 AFG",20.8970577,NA,0.15875,38.8,6.321311317,"Asia/Pacific",34.5167,1.1,19.95
"Afghanistan","AFG","X2018",4.473,"X2018 AFG",21.27219716,4.90508,0.17975,39.7,6.261802477,"Asia/Pacific",34.5167,1.09,20.395
"Bangladesh","BGD","X1991",4.315,"X1991 BGD",20.63422308,NA,NA,NA,5.680719952,"Asia/Pacific",23.7231,NA,NA
"Bangladesh","BGD","X1992",4.146,"X1992 BGD",20.78024355,NA,NA,NA,5.68237155,"Asia/Pacific",23.7231,NA,NA
"Bangladesh","BGD","X1993",3.99,"X1993 BGD",20.95892997,NA,NA,26.8,5.705633272,"Asia/Pacific",23.7231,2.7,14.75
"Bangladesh","BGD","X1994",3.846,"X1994 BGD",21.16372928,NA,NA,26.8,5.702224728,"Asia/Pacific",23.7231,2.82,14.81
"Bangladesh","BGD","X1995",3.713,"X1995 BGD",21.39310353,NA,NA,26.8,5.797345932,"Asia/Pacific",23.7231,2.94,14.87
"Bangladesh","BGD","X1996",3.591,"X1996 BGD",21.60570968,NA,0.52425,26.8,5.978170256,"Asia/Pacific",23.7231,3.06,14.93
"Bangladesh","BGD","X1997",3.478,"X1997 BGD",21.84417975,NA,NA,26.8,5.995204273,"Asia/Pacific",23.7231,3.18,14.99
"Bangladesh","BGD","X1998",3.371,"X1998 BGD",22.09575064,NA,0.52425,26.8,6.009867141,"Asia/Pacific",23.7231,3.3,15.05
"Bangladesh","BGD","X1999",3.269,"X1999 BGD",22.34907646,3.70027,NA,26.8,6.015042385,"Asia/Pacific",23.7231,3.42,15.11
"Bangladesh","BGD","X2000",3.169,"X2000 BGD",22.59462632,3.70686,0.52425,26.8,6.035646415,"Asia/Pacific",23.7231,3.55,15.175
"Bangladesh","BGD","X2001",3.07,"X2001 BGD",22.78743064,4.59011,NA,26.8,6.028361472,"Asia/Pacific",23.7231,3.67,15.235
"Bangladesh","BGD","X2002",2.973,"X2002 BGD",22.98087983,4.14112,0.46175,26.9,6.023641895,"Asia/Pacific",23.7231,3.79,15.345
"Bangladesh","BGD","X2003",2.876,"X2003 BGD",23.17359229,4.17331,0.46175,26.9,6.101015255,"Asia/Pacific",23.7231,3.91,15.405
"Bangladesh","BGD","X2004",2.782,"X2004 BGD",23.36956622,3.78948,0.39925,26.9,6.163929183,"Asia/Pacific",23.7231,4.03,15.465
"Bangladesh","BGD","X2005",2.691,"X2005 BGD",23.57522844,4.39797,0.39925,27,6.213531399,"Asia/Pacific",23.7231,3.99,15.495
"Bangladesh","BGD","X2006",2.604,"X2006 BGD",23.74162432,5.22811,0.39925,27.1,6.233704875,"Asia/Pacific",23.7231,3.95,15.525
"Bangladesh","BGD","X2007",2.523,"X2007 BGD",24.25610918,5.62739,0.39925,27.3,6.324451898,"Asia/Pacific",23.7231,3.91,15.605
"Bangladesh","BGD","X2008",2.449,"X2008 BGD",24.78278368,6.31145,0.36975,27.4,6.453604615,"Asia/Pacific",23.7231,3.87,15.635
"Bangladesh","BGD","X2009",2.382,"X2009 BGD",25.31101355,8.11878,0.401,27.5,6.554309986,"Asia/Pacific",23.7231,3.83,15.665
"Bangladesh","BGD","X2010",2.324,"X2010 BGD",25.83424804,NA,0.4185,27.7,6.660771793,"Asia/Pacific",23.7231,3.79,15.745
"Bangladesh","BGD","X2011",2.273,"X2011 BGD",26.32513796,11.19707,0.418,27.8,6.758975004,"Asia/Pacific",23.7231,3.75,15.775
"Bangladesh","BGD","X2012",2.228,"X2012 BGD",26.80856442,11.55667,0.418,27.7,6.783444107,"Asia/Pacific",23.7231,3.75,15.725
"Bangladesh","BGD","X2013",2.188,"X2013 BGD",27.28927382,NA,0.418,27.5,6.889428239,"Asia/Pacific",23.7231,3.76,15.63
"Bangladesh","BGD","X2014",2.152,"X2014 BGD",27.77141901,11.74298,0.414,27.4,7.020059925,"Asia/Pacific",23.7231,3.76,15.58
"Bangladesh","BGD","X2015",2.12,"X2015 BGD",28.2597858,NA,0.4115,27.3,7.129660783,"Asia/Pacific",23.7231,3.76,15.53
"Bangladesh","BGD","X2016",2.09,"X2016 BGD",28.75217215,14.68115,0.4115,27.2,7.245384322,"Asia/Pacific",23.7231,3.77,15.485
"Bangladesh","BGD","X2017",2.062,"X2017 BGD",30.17466647,14.91033,0.36525,27.1,7.354946841,"Asia/Pacific",23.7231,3.77,15.435
