"country","ISO_Code","year","fertility","lookup","female_employment","female_high_edu","va_democracy","live_with_parents_husband","gdp_per_cap","Region","Latitude","live_with_parents_wife","parents_hus_wife"
"Albania","ALB","X1991",2.905,"X1991 ALB",43.00798908,9.30116,NA,NA,5.818856643,"Europe",41.3275,NA,NA
"Albania","ALB","X1992",2.829,"X1992 ALB",43.86110724,9.74888,NA,NA,5.302569413,"Europe",41.3275,NA,NA
"Albania","ALB","X1993",2.751,"X1993 ALB",44.1848368,11.30345,NA,NA,5.90612239,"Europe",41.3275,NA,NA
"Albania","ALB","X1994",2.672,"X1994 ALB",44.50581664,11.17999,NA,NA,6.374030014,"Europe",41.3275,NA,NA
"Albania","ALB","X1995",2.591,"X1995 ALB",44.53217499,10.55495,NA,NA,6.620878814,"Europe",41.3275,NA,NA
"Albania","ALB","X1996",2.507,"X1996 ALB",43.98199101,11.58536,NA,NA,6.917683499,"Europe",41.3275,NA,NA
"Albania","ALB","X1997",2.422,"X1997 ALB",43.80383696,14.15526,NA,NA,6.575606477,"Europe",41.3275,NA,NA
"Albania","ALB","X1998",2.334,"X1998 ALB",42.97600945,15.15706,NA,NA,6.701702671,"Europe",41.3275,NA,NA
"Albania","ALB","X1999",2.246,"X1999 ALB",42.1472979,17.38697,NA,NA,6.940456414,"Europe",41.3275,NA,NA
"Albania","ALB","X2000",2.157,"X2000 ALB",41.63843984,18.26957,NA,NA,7.027033479,"Europe",41.3275,NA,NA
"Albania","ALB","X2001",2.068,"X2001 ALB",41.44124874,19.04766,NA,NA,7.155910918,"Europe",41.3275,NA,NA
"Albania","ALB","X2002",1.981,"X2002 ALB",41.468607,19.78476,NA,21.4,7.262014702,"Europe",41.3275,0.47,10.935
"Albania","ALB","X2003",1.897,"X2003 ALB",41.64020529,20.32879,NA,21.8,7.520840775,"Europe",41.3275,0.53,11.165
"Albania","ALB","X2004",1.821,"X2004 ALB",41.84761653,24.1045,NA,22.3,7.772154577,"Europe",41.3275,0.58,11.44
"Albania","ALB","X2005",1.755,"X2005 ALB",42.03746428,27.35053,NA,22.8,7.891251204,"Europe",41.3275,0.64,11.72
"Albania","ALB","X2006",1.704,"X2006 ALB",42.21953492,30.42745,0.5455,23.2,7.997240464,"Europe",41.3275,0.7,11.95
"Albania","ALB","X2007",1.671,"X2007 ALB",42.36504779,35.46488,0.5455,23.7,8.187309608,"Europe",41.3275,0.76,12.23
"Albania","ALB","X2008",1.654,"X2008 ALB",42.47544421,36.48628,0.5455,24.2,8.382641879,"Europe",41.3275,0.81,12.505
"Albania","ALB","X2009",1.652,"X2009 ALB",41.60777011,38.66989,0.5455,24.7,8.322185127,"Europe",41.3275,0.87,12.785
"Albania","ALB","X2010",1.66,"X2010 ALB",42.4450508,51.57109,0.543,24,8.317363335,"Europe",41.3275,0.9,12.45
"Albania","ALB","X2011",1.673,"X2011 ALB",42.40882036,58.23014,0.5405,23.4,8.397765954,"Europe",41.3275,0.93,12.165
"Albania","ALB","X2012",1.684,"X2012 ALB",42.38820171,69.71962,0.5335,22.7,8.354116456,"Europe",41.3275,0.95,11.825
"Albania","ALB","X2013",1.69,"X2013 ALB",41.25099284,76.31651,0.56475,22.1,8.3923238,"Europe",41.3275,0.98,11.54
"Albania","ALB","X2014",1.688,"X2014 ALB",40.62278736,78.31959,0.56475,21.4,8.429155541,"Europe",41.3275,1.01,11.205
"Albania","ALB","X2015",1.677,"X2015 ALB",41.5237887,73.53012,0.57675,20.8,8.282179775,"Europe",41.3275,1.04,10.92
"Albania","ALB","X2016",1.659,"X2016 ALB",41.44665944,70.07677,0.57675,20.2,8.324592358,"Europe",41.3275,1.06,10.63
"Albania","ALB","X2017",1.638,"X2017 ALB",41.42940566,69.81036,0.58025,19.5,8.418702537,"Europe",41.3275,1.09,10.295
"Albania","ALB","X2018",1.617,"X2018 ALB",41.46691026,67.57861,0.58025,18.9,8.572510613,"Europe",41.3275,1.12,10.01
"Armenia","ARM","X1991",2.484,"X1991 ARM",43.59506455,NA,NA,NA,6.380327681,"Europe",40.1812,NA,NA
"Armenia","ARM","X1992",2.4,"X1992 ARM",43.94155477,NA,NA,NA,5.912509584,"Europe",40.1812,NA,NA
"Armenia","ARM","X1993",2.297,"X1993 ARM",44.35842346,NA,NA,NA,5.878305025,"Europe",40.1812,NA,NA
"Armenia","ARM","X1994",2.179,"X1994 ARM",44.81306968,NA,NA,NA,5.992751813,"Europe",40.1812,NA,NA
"Armenia","ARM","X1995",2.056,"X1995 ARM",45.27122611,NA,NA,NA,6.123314947,"Europe",40.1812,NA,NA
"Armenia","ARM","X1996",1.938,"X1996 ARM",45.64725881,NA,NA,NA,6.222692451,"Europe",40.1812,NA,NA
"Armenia","ARM","X1997",1.832,"X1997 ARM",45.98970672,NA,NA,34.5,6.260122557,"Europe",40.1812,3.2,18.85
"Armenia","ARM","X1998",1.747,"X1998 ARM",46.29032179,NA,NA,34.1,6.412101376,"Europe",40.1812,3.1,18.6
"Armenia","ARM","X1999",1.685,"X1999 ARM",46.54228917,NA,NA,33.7,6.392641331,"Europe",40.1812,2.99,18.345
