Country,ISO_Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,AFG,15.61574845,15.53842641,15.42882123,15.34800504,15.3578166,15.20490778,15.09044956,15.02707107,14.99231581,14.95564408,15.06195778,15.20136116,15.35322387,15.51301586,15.6859347,15.53422822,15.4026906,15.3164925,15.29997403,15.3669711,15.70325197,16.11402243,16.95932204,17.84825715,18.78620817,19.81767613,20.8970577,21.27219716
Albania,ALB,43.00798908,43.86110724,44.1848368,44.50581664,44.53217499,43.98199101,43.80383696,42.97600945,42.1472979,41.63843984,41.44124874,41.468607,41.64020529,41.84761653,42.03746428,42.21953492,42.36504779,42.47544421,41.60777011,42.4450508,42.40882036,42.38820171,41.25099284,40.62278736,41.5237887,41.44665944,41.42940566,41.46691026
Algeria,DZA,13.01007156,13.01512541,12.96176053,12.94165378,13.02531647,13.09893544,13.14108185,13.22367874,13.34820292,13.51781605,13.73291886,13.99081897,14.28612143,14.61722275,14.98055073,15.37334266,15.80310059,16.26682147,16.76496662,16.87925962,17.83118811,18.82726644,19.21759662,18.37098547,18.21054831,18.03715388,17.80693442,17.56835917
Angola,AGO,48.32309481,48.35353872,48.33671678,48.40423142,48.51721192,48.612769,48.71227471,48.81754198,48.92032869,49.02418502,49.09795851,49.19827101,49.27707639,49.37778419,49.48595087,49.56430127,49.65430932,49.73593129,49.78630418,49.84620479,49.86652018,49.91013291,49.95379286,50.00355699,50.05091396,50.09830855,50.15490459,50.21146771
Argentina,ARG,39.86867071,40.3303514,40.81169341,41.18691795,41.17601991,41.52410267,41.96489534,42.21490092,42.13006926,42.13507976,41.99141306,41.51001719,41.84634551,42.18623292,41.84533888,42.07202912,41.78153676,41.49770524,41.81921912,41.38395892,41.4441798,41.59960518,41.44184118,41.24536857,41.60916656,41.97850456,42.3421909,43.00354589
Armenia,ARM,43.59506455,43.94155477,44.35842346,44.81306968,45.27122611,45.64725881,45.98970672,46.29032179,46.54228917,46.74500977,46.76474682,46.73421895,46.67442592,46.61007487,46.56018459,46.50716843,46.48639094,46.47713395,46.52276206,45.78490546,47.09689585,47.17972556,47.24967839,47.11475052,46.89179824,46.12205081,46.21383144,46.18442429
Azerbaijan,AZE,44.59072269,44.82964224,45.26916892,45.79391948,46.20456171,46.32709608,46.36866604,46.3346484,46.3421236,46.65523318,46.85994996,47.0397569,47.2116437,47.38849149,47.57972847,47.78576789,48.00671183,48.24028165,48.47866003,48.71536424,48.97621507,48.96072241,48.89309168,48.94813707,49.01988532,48.7836754,48.72880901,48.76007945
Bangladesh,BGD,20.63422308,20.78024355,20.95892997,21.16372928,21.39310353,21.60570968,21.84417975,22.09575064,22.34907646,22.59462632,22.78743064,22.98087983,23.17359229,23.36956622,23.57522844,23.74162432,24.25610918,24.78278368,25.31101355,25.83424804,26.32513796,26.80856442,27.28927382,27.77141901,28.2597858,28.75217215,30.17466647,30.34300438
Barbados,BRB,47.22084312,47.20596681,47.42711041,47.64810272,47.77823386,48.85023709,48.19468977,48.25274124,48.31110712,48.36995479,48.40096509,48.43718191,48.47220162,48.57797708,48.66273379,48.75330376,48.83908862,48.92452682,49.00471948,49.24969024,49.14379652,48.96392181,49.33182906,49.7801284,49.38796674,49.41919404,49.4261022,49.37095175
Belarus,BLR,48.34007513,48.29854709,48.27382394,48.27485581,48.32752692,48.39676877,48.48156675,48.57928661,48.65142922,48.78277615,48.9380274,49.0631518,49.16544907,49.2543193,49.32763822,49.427151,49.50897478,49.57274699,49.61338955,49.63489956,49.66623925,49.6768301,49.6722438,49.66405171,49.65339777,49.6784888,49.47203433,49.03078635
Belize,BLZ,29.70287676,30.33279872,30.55387409,30.29997629,30.33906084,30.48387318,31.08665929,31.67092451,32.24596486,32.81644509,33.4144857,34.00603488,34.59191681,35.18236224,35.77648832,35.93035511,36.11954611,36.33385627,36.56044146,36.78448617,37.00876491,37.2176606,37.42234744,37.73753028,38.10613546,38.78095912,38.49535181,38.67043195
Benin,BEN,41.65198295,41.56699939,42.04997346,42.54455695,43.05349947,43.5938584,44.1494846,44.71605777,45.29081565,45.87141427,46.44689194,47.02978794,47.39639021,47.75371835,48.10291274,48.47117836,48.83435852,49.18516354,49.51958432,49.83310663,49.08667022,49.07472905,49.07843134,49.08897287,49.09906086,49.10750605,49.13550454,49.1765059
Bhutan,BTN,40.72194048,40.75604038,40.80603695,40.87348864,40.95676534,41.31246807,41.73419884,42.1699313,42.57019091,42.90667178,43.03856049,43.07706219,43.06241922,43.04666455,43.06707288,43.19515172,43.38839263,43.61612557,43.83568387,43.39769634,43.05166224,45.4984601,41.35289795,40.03845905,41.07257657,41.05631118,40.96369018,40.81981052
Bolivia,BOL,41.03259404,41.07644358,41.19694132,41.32879519,41.45683763,41.57895551,41.71995175,41.85801209,41.9818954,42.12293878,42.3335298,42.53339282,42.72534141,42.91053659,43.09215254,43.27788832,42.84563778,43.17907747,43.2686853,43.08382967,42.93437283,42.05541588,42.46351152,42.76362457,40.70704569,42.15788239,42.91161334,44.18907173
Bosnia Herzegovina,BIH,38.32624451,38.39719916,38.42544546,38.45177033,38.43377614,38.42093713,38.41506367,38.36499649,38.24932474,38.16512056,38.0962486,38.01390453,37.93653829,37.85258406,36.88038252,36.80327324,36.36657904,37.04811379,37.67933592,38.35050382,38.72116285,38.58596402,39.16381941,39.73056426,39.67851553,39.084276,39.63761137,39.20008547
Botswana,BWA,42.68931819,42.81987613,42.95655811,43.12582466,43.34839279,43.4526688,43.62557008,43.81128121,44.31149623,44.95873608,45.17024478,45.37906443,45.5784358,45.75905592,45.91599507,46.03975022,46.21897945,46.40984894,46.64995062,46.51927595,46.80616139,47.4287339,48.20421168,48.49139342,48.67320941,48.75610088,48.79001406,48.81410516
Brazil,BRA,34.29620821,35.14473704,35.98816975,36.82461078,37.65252667,37.67854201,38.01281036,38.61585238,39.29155469,39.97024925,40.65495109,41.30209095,41.55823191,41.95214271,42.44120442,42.488475,42.51187929,42.45529509,42.69784178,42.35082622,41.99582106,42.26816675,42.2811724,42.3855817,42.71651788,42.86427924,43.38258691,43.5765988
Burkina Faso,BFA,48.46493973,48.22036201,47.96855896,47.7000874,47.42675044,47.14058664,46.83752373,46.52239229,46.19001767,45.8315423,45.44807118,45.04442663,44.6294782,44.19306239,43.74607276,43.27372247,43.34188175,43.43386824,43.55550492,43.70964713,43.89574518,44.12332594,44.39633154,44.71533351,44.70154596,44.69169903,44.69086755,44.70188771
Burundi,BDI,52.2172566,52.36118447,52.52125669,52.66911231,52.78329523,52.68406538,52.55900089,52.41681581,52.30787487,52.21496049,52.2069797,52.20404594,52.20548667,52.20795129,52.20650058,52.18776575,52.16576652,52.14204109,52.11941849,52.10194199,52.10709666,52.11652998,52.12730263,52.13762501,52.06447051,51.99885237,51.94122097,51.89484513
