Country,ISO_Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Madagascar,MDG,2.88493,0,0,2.56321,2.15283,1.97412,1.77731,2.00961,1.96436,2.01636,1.84922,1.87118,2.02831,2.44628,2.52183,2.67833,3.07924,3.09257,3.31752,3.50057,3.91773,3.96282,4.15512,4.61272,4.56489,4.62497,5.09647,5.21415
Malawi,MWI,0.29424,0.2996,0.27329,0.32077,0.3479,0.36373,0,0,0.17579,0.19284,0,0.24638,0,0.35796,0.3451,0.33923,0.3324,0,0,0.53521,0.63539,0,0,0,0,0,0,0
Rwanda,RWA,0,0,0,0,0,0,0,0,0,0,1.11297,1.30387,1.68605,2.11366,0,0,0,0,4.57224,5.18612,5.99487,6.06047,6.52209,6.74895,6.72255,6.70845,6.97135,6.01428
Senegal,SEN,0,1.56966,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49403,4.2647,5.47226,5.80993,5.60403,7.32529,7.40009,7.60871,7.92605,8.02511,8.11605,8.64482,10.30509
Tanzania,TZA,0.10606,0.11238,0.11935,0.14498,0.16014,0.19464,0.25391,0.22631,0.27099,0.31997,0.33862,0.37033,0.58274,0.74548,0.97155,0,0.97705,0,0,1.94126,0,2.80986,2.57994,0,2.8033,0,0,0
Zimbabwe,ZWE,0,3.69914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71466,5.55479,5.72372,6.09897,0,9.17213,0,0,0
Haiti,HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,IND,4.15219,0,0,0,3.97066,4.70769,4.94944,0,0,7.50855,7.84538,8.34167,8.57529,8.77626,8.85219,9.64622,10.8117,0,13.28658,15.05774,20.09418,0,23.16391,25.39835,26.81881,27.04352,28.03872,29.06165
Pakistan,PAK,0,0.89028,0,0,0,0,0,0,0,0,0,0,2.39876,2.97862,4.57152,4.56527,5.14005,5.08459,6.22182,0,7.96285,9.18671,9.63351,9.96779,8.58921,8.39577,8.67735,8.32044
Kenya,KEN,0,0,0,0,0,0,0,0,0,1.89423,1.92672,1.9357,0,2.15738,2.18099,0,0,0,3.27667,0,0,0,0,0,7.67757,9.40628,9.73054,0
Mali,MLI,0.17427,0.22304,0.2808,0,0.28246,0.35718,0.57083,0.58059,1.20109,1.25172,1.38541,1.3951,0,0,0,0,0,3.39174,3.47904,3.5636,3.25185,3.96207,3.76,3.50106,3.23422,2.53251,2.66183,0
Uganda,UGA,0.73819,0.75156,0.85776,1.00744,1.10217,1.24616,0,0,1.36636,1.77741,1.95948,2.69848,2.81775,2.78253,0,3.05252,0,3.37961,3.74244,3.4863,3.86962,3.1957,0,4.09987,0,0,0,0
Colombia,COL,15.54814,0,0,0,16.75532,18.46024,22.1274,23.46497,24.28099,25.32753,26.38031,26.33903,0,29.17589,31.90497,34.11875,35.28257,35.96286,38.52225,41.34383,45.1512,48.16623,52.15952,55.21668,57.43417,59.74896,60.83253,59.72434
Guatemala,GTM,0,0,0,0,0,0,0,0,0,0,0,7.79989,0,0,0,0,17.51907,0,0,0,0,0,20.03382,19.17984,23.5579,0,0,0
Kazakhstan,KAZ,0,0,0,40.2215,40.18999,34.82079,0,0,26.47429,34.58969,0,0,0,0,0,67.74933,0,0,0,51.68813,54.27813,57.78616,56.42265,54.52119,52.09302,51.64216,56.12924,60.0332
Benin,BEN,0.636,0.71743,0.68218,0.73802,0.73807,0.7672,0.96345,0,1.29026,1.4676,1.78047,0,0,0,0,3.32336,4.13256,4.35691,5.73935,7.18678,5.4883,7.14151,8.76919,8.50553,7.74509,7.64171,7.46639,0
Egypt,EGY,8.93995,0,0,0,0,0,0,0,0,0,26.21074,27.6282,25.66336,25.81621,27.46673,27.97112,26.12975,28.93243,28.87459,30.01423,25.52576,26.15459,28.37723,29.29898,34.32684,34.249,35.77688,0
Namibia,NAM,3.60404,0,0,7.28487,8.2168,0,5.40887,6.69522,0,0,6.46831,6.68867,6.4561,0,6.23924,5.9303,0,10.29589,0,0,0,0,0,24.46697,25.97564,27.83812,30.26425,0
Zambia,ZMB,0,0,0,0,0,0,0,1.46044,1.43876,0,0,0,0,0,0,0,0,0,0,0,2.26496,3.50167,0,0,0,0,0,0
Nepal,NPL,2.85549,0,0,0,0,0,0,0,0,2.2888,0,2.08093,2.4498,3.26113,5.49083,5.69884,0,8.56242,8.57949,11.29164,11.61579,0,15.38884,0,14.53834,11.49555,11.64118,12.82445
Turkey,TUR,9.4216,10.08577,11.43043,14.97042,15.49665,0,16.87635,18.42003,18.97595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,YEM,0,1.64155,0,0,0,0,1.26563,0,4.68687,0,0,5.55437,5.39368,5.29403,5.22,5.21128,6.20183,6.48268,0,6.50644,6.16967,0,0,0,0,0,0,0
