ISO_Code,Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AFG,Afghanistan,19.21422005,NA,14.89356041,26.49334908,28.65940094,NA,NA,NA,3.844340086,NA,NA,42.82884979,66.6979599,62.5909996,71.81207275,77.66840363,74.82183838,77.98242188,76.51035309,80.6354599,80.93682861,86.32884216,85.90213776,86.729599,83.50441742,82.55835724,82.08027649,82.85025024
AGO,Angola,63.79912949,59.3859787,NA,NA,NA,NA,NA,64.83450317,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.43589783,94.88481903,94.05664825,92.45636749,NA,NA,NA,105.8881531,NA,NA,NA
ALB,Albania,101.441803,100.3970871,100.2713623,100.8794022,102.3468781,104.8565063,106.1285172,105.4727097,104.7202682,104.0438614,103.7821198,101.1117783,100.4949799,98.86424255,100.9562225,98.30409241,96.7336731,95.80653381,92.96703339,93.80493927,95.78378296,98.40963745,101.1574783,106.1275177,107.2901764,107.5338516,108.8700485,109.1112289
ARG,Argentina,108.163063,NA,NA,NA,NA,109.3417511,106.7847672,110.7133026,114.2876663,115.1662064,115.7987823,116.3890762,114.0784378,115.2805099,114.7470779,116.8499985,117.8712921,118.34758,117.6324081,116.2216721,114.9186401,113.5387573,111.5293427,111.3425522,111.2357025,110.6060715,109.6277771,NA
ARM,Armenia,106.3488617,102.1553192,105.558609,97.87876892,93.49443054,94.85115814,131.4509125,NA,141.0306549,99.33167267,103.2709885,95.52469635,94.15036011,95.19812775,96.34499359,101.4563904,114.6081467,115.7981415,112.7857285,100.7184677,99.44019318,99.61920929,99.10623169,97.53677368,95.77111053,94.96555328,94.24420166,92.69589996
AZE,Azerbaijan,113.2575684,112.2999191,110.0841675,110.4113693,119.9700623,97.36618042,93.51743317,91.99481964,95.51113129,96.29398346,98.03726959,97.10726929,93.37203979,95.41021729,92.78383636,91.04316711,94.61506653,93.80725098,94.52098083,93.23661041,94.57047272,96.88852692,98.8164978,105.4929504,105.6359787,105.8647003,104.193718,100.0146179
BDI,Burundi,64.108078,60.21564102,59.38383102,NA,43.87208939,35.29328918,36.37833023,42.65449142,49.60514832,51.45975876,53.89004898,57.55715942,63.3528595,69.17115784,74.68911743,97.97103882,111.0419235,119.7990265,129.3699188,136.3874054,141.2947845,140.2646484,137.9514465,136.4719849,132.8154602,129.4978027,124.7843781,122.178421
BEN,Benin,38.92697906,41.48561859,45.5743103,47.40607071,50.65422821,53.43130112,57.40761948,61.55356979,63.14743042,67.00985718,74.41200256,80.2598877,84.52934265,89.86065674,88.95442963,91.14298248,NA,104.457962,110.5094604,113.1822662,115.8319473,120.9482727,122.9629974,124.4281082,127.6149979,126.5353622,122.3356018,117.9589081
BFA,Burkina Faso,26.29791069,27.07432938,27.97051048,29.11162949,30.85932922,32.63788986,NA,35.12664032,36.36085892,37.31592178,38.92945862,39.93371964,42.20346069,47.29275894,51.80413055,55.77161026,61.65747833,67.89956665,72.87088776,74.28183746,78.47821045,81.77778625,84.26593018,86.17987823,87.20172882,90.09287262,92.9284668,95.27731323
BGD,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.9545364,105.2583923,105.2410431,102.5926285,105.3820877,109.2534485,NA,NA,NA,NA,NA,NA,119.0579605,120.7517471
BIH,Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,Belarus,NA,NA,97.09889221,96.65139771,96.32273865,96.88535309,97.70620728,100.0757523,110.5988998,113.0354538,114.305397,111.6520386,101.7281189,98.31362152,96.73934937,98.28970337,100.9932098,104.5772629,105.5743637,104.2598114,102.0647202,99.84606934,98.3036499,98.46263123,99.2294693,101.2242432,101.6754227,100.3826065
BLZ,Belize,112.0918732,111.1131287,112.1507034,114.8898697,117.0399399,120.2027283,119.5474014,NA,116.6575928,112.9921112,110.0431366,105.232872,109.6092529,111.0542221,110.7629166,111.6923065,111.9171219,110.0962601,110.8659897,110.3181076,108.9440308,111.8289185,109.4133301,108.8552475,110.1889801,111.6224213,110.3680115,108.7315521
BOL,Bolivia,104.4366684,104.8161163,106.5368805,108.7320709,111.2442017,112.4885406,113.790123,115.1386566,117.4196625,117.3604126,116.5319672,117.2311325,115.8739471,115.422287,114.8849106,113.3420868,112.3739929,110.7398911,106.6110001,104.217308,100.2862701,97.59755707,95.94831848,94.75959015,94.90350342,95.74906158,96.87380981,97.64904022
BRA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,163.0208893,NA,145.884903,141.5455322,136.4726105,130.3646545,129.164566,NA,124.8782883,127.313118,128.1880341,NA,127.5544891,NA,NA,NA,NA,NA,NA,NA
