Country,ISO_Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Madagascar,MDG,4.777,6.116,6.078,6.033,5.979,5.912,5.835,5.748,5.653,5.551,5.447,5.342,5.24,5.141,5.047,4.956,4.866,4.777,4.689,4.603,4.52,4.442,4.369,4.302,4.241,4.184,4.13,4.077
Malawi,MWI,6.728,6.596,6.48,6.384,6.309,6.253,6.209,6.17,6.133,6.098,6.065,6.033,6,5.963,5.914,5.844,5.751,5.632,5.491,5.332,5.161,4.988,4.821,4.666,4.527,4.407,4.302,4.209
Rwanda,RWA,6.942,6.713,6.505,6.324,6.172,6.046,5.936,5.835,5.737,5.64,5.542,5.443,5.342,5.239,5.131,5.015,4.893,4.767,4.641,4.52,4.412,4.322,4.251,4.197,4.157,4.123,4.088,4.044
Senegal,SEN,6.346,6.246,6.146,6.046,5.945,5.843,5.741,5.639,5.541,5.448,5.365,5.292,5.232,5.185,5.149,5.124,5.107,5.094,5.081,5.064,5.039,5.005,4.96,4.905,4.841,4.77,4.697,4.625
Tanzania,TZA,6.148,6.081,6.013,5.946,5.883,5.828,5.78,5.741,5.711,5.689,5.675,5.666,5.659,5.651,5.638,5.616,5.584,5.542,5.489,5.427,5.358,5.287,5.215,5.146,5.079,5.015,4.953,4.892
Zimbabwe,ZWE,4.676,4.503,4.346,4.207,4.088,3.989,3.907,3.839,3.786,3.748,3.725,3.718,3.725,3.744,3.775,3.819,3.873,3.931,3.988,4.034,4.059,4.058,4.03,3.974,3.896,3.804,3.707,3.615
Haiti,HTI,5.317,5.208,5.099,4.991,4.884,4.777,4.669,4.561,4.452,4.344,4.237,4.132,4.029,3.931,3.836,3.746,3.66,3.579,3.501,3.427,3.356,3.288,3.223,3.159,3.098,3.041,2.986,2.935
India,IND,3.959,3.877,3.799,3.723,3.651,3.582,3.514,3.446,3.379,3.311,3.244,3.176,3.109,3.041,2.972,2.899,2.823,2.743,2.661,2.581,2.506,2.439,2.381,2.333,2.295,2.266,2.243,2.222
Pakistan,PAK,6.091,6.007,5.912,5.808,5.694,5.571,5.442,5.308,5.172,5.037,4.904,4.774,4.648,4.528,4.416,4.31,4.211,4.118,4.031,3.951,3.88,3.816,3.759,3.708,3.66,3.612,3.562,3.51
Kenya,KEN,5.901,5.755,5.633,5.535,5.459,5.4,5.348,5.296,5.239,5.178,5.112,5.045,4.979,4.913,4.843,4.767,4.682,4.587,4.482,4.369,4.248,4.123,3.999,3.879,3.765,3.663,3.572,3.492
Mali,MLI,7.159,7.146,7.124,7.094,7.058,7.02,6.983,6.95,6.921,6.897,6.878,6.861,6.842,6.821,6.794,6.76,6.719,6.67,6.612,6.547,6.474,6.396,6.315,6.231,6.145,6.057,5.968,5.877
Uganda,UGA,7.082,7.071,7.057,7.039,7.018,6.994,6.967,6.937,6.903,6.866,6.823,6.776,6.723,6.662,6.594,6.516,6.429,6.333,6.227,6.111,5.983,5.845,5.699,5.547,5.394,5.242,5.095,4.955
Colombia,COL,3.047,3.01,2.968,2.918,2.862,2.802,2.742,2.683,2.627,2.572,2.516,2.458,2.395,2.33,2.263,2.198,2.137,2.081,2.033,1.992,1.958,1.93,1.905,1.883,1.863,1.843,1.825,1.807
Guatemala,GTM,5.38,5.32,5.252,5.174,5.087,4.993,4.895,4.797,4.699,4.598,4.49,4.372,4.245,4.11,3.971,3.833,3.701,3.58,3.471,3.375,3.292,3.219,3.151,3.088,3.029,2.973,2.92,2.87
Kazakhstan,KAZ,2.61,2.5,2.3,2.28,2.26,2.13,2,1.8,1.7,1.8,1.9,2,2.03,2.21,2.22,2.36,2.5,2.7,2.55,2.6,2.59,2.62,2.64,2.74,2.73,2.73,2.73,2.84
Benin,BEN,6.677,6.603,6.526,6.446,6.364,6.282,6.199,6.118,6.038,5.962,5.889,5.82,5.754,5.691,5.632,5.576,5.522,5.469,5.416,5.362,5.305,5.246,5.183,5.116,5.047,4.977,4.906,4.836
Egypt,EGY,4.413,4.253,4.103,3.967,3.844,3.733,3.629,3.529,3.432,3.34,3.253,3.173,3.106,3.052,3.019,3.013,3.037,3.085,3.154,3.233,3.311,3.377,3.421,3.441,3.436,3.41,3.37,3.326
Namibia,NAM,5.087,4.958,4.83,4.703,4.574,4.44,4.3,4.157,4.014,3.88,3.763,3.67,3.604,3.565,3.552,3.56,3.579,3.601,3.62,3.631,3.632,3.623,3.604,3.577,3.54,3.496,3.447,3.396
