Country,ISO_Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Madagascar,MDG,5.53,5.39,5.25,5.12,4.98,4.85,4.71,4.57,4.42,4.28,4.13,3.99,3.84,3.7,3.79,3.88,3.97,4.06,4.15,4.09,4.03,3.97,3.91,3.86,3.8,3.74,3.68,3.62
Malawi,MWI,3.42,3.37,3.32,3.26,3.21,3.16,3.1,3.05,2.99,2.94,2.82,2.7,2.57,2.45,2.55,2.66,2.76,2.86,2.97,3.07,3,2.93,2.86,2.79,2.72,2.65,2.58,2.51
Rwanda,RWA,0.64,0.68,0.72,0.77,0.81,0.86,0.9,0.94,0.99,1.03,0.96,0.89,0.81,0.74,0.67,0.7,0.73,0.76,0.79,0.82,0.84,0.86,0.87,0.89,0.91,0.93,0.95,0.96
Senegal,SEN,26.2,26.5,26.8,27.2,27.5,27.8,28.1,28.1,28,28,28,27.9,27.9,27.8,27.8,28.6,29.3,30.1,30.8,31.6,32.4,33.4,31.2,29,28.2,28.2,31,33.9
Tanzania,TZA,9.99,9.25,8.51,7.77,7.02,6.28,7.64,9.01,10.4,9.64,8.91,8.19,7.46,6.73,6.75,6.77,6.8,6.82,6.84,6.86,6.9,6.95,6.99,7.04,7.08,7.12,7.17,7.21
Zimbabwe,ZWE,8.06,7.96,7.85,7.74,7.63,7.52,7.42,7.31,7.2,7.34,7.49,7.63,7.77,7.91,8.06,8.2,8.17,8.14,8.11,8.08,8.05,7.6,7.14,6.69,6.23,5.78,5.32,4.87
Haiti,HTI,4.16,4.1,4.04,3.98,3.92,3.86,3.8,3.74,3.68,3.62,3.58,3.54,3.51,3.47,3.43,3.49,3.55,3.61,3.66,3.72,3.78,3.84,3.88,3.91,3.95,3.98,4.02,4.06
India,IND,36.1,35.7,35.3,35,34.6,34.2,33.8,33.5,33.1,32.4,31.8,31.2,30.5,29.9,29.2,28.6,29.5,30.5,31.4,32.4,33.3,34.3,33.5,32.7,31.9,31.2,30.4,29.6
Pakistan,PAK,32.3,32.6,32.8,33.1,33.3,33.5,33.8,34,34.3,34.5,34.8,35,35.3,35.5,35.8,36,36.3,36.4,36.5,36.6,36.7,36.9,37,37.1,37.3,37.4,37.5,37.7
Kenya,KEN,7.88,7.47,7.05,6.63,6.22,5.8,5.39,4.97,4.91,4.85,4.78,4.72,4.66,4.65,4.65,4.64,4.64,4.63,4.36,4.08,3.81,3.53,3.26,2.98,2.71,2.43,2.16,
