Country,ISO_Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Madagascar,MDG,5.607729219,5.710417202,5.770082624,5.596793717,5.651867205,5.871389526,5.694119889,5.694585888,5.63450864,5.682242675,5.81246239,5.765869475,5.910246884,5.65068983,5.766874451,5.825265698,6.083713888,6.284789654,6.147484382,6.156892535,6.275262031,6.250270477,6.293541637,6.274500868,6.146833198,6.165324189,6.244735137,6.268151379
Malawi,MWI,5.436023018,5.224594863,5.362421167,4.797971039,4.955505813,5.427522785,5.55856591,5.11135743,5.097511504,5.052325511,5.01162784,5.698546742,5.588742136,5.64391599,5.668345845,5.730630407,5.80591522,5.959989296,6.082702909,6.171008478,6.282175649,5.97014344,5.853438123,5.916928886,5.94174116,5.755037302,5.876944357,5.943478902
Rwanda,RWA,5.59786683,5.712869105,5.751782976,4.84383051,5.401003622,5.437587703,5.664380192,5.654977982,5.490234677,5.387610218,5.315454049,5.293643108,5.374115609,5.48334066,5.676742454,5.908759049,6.087524857,6.302170341,6.366568857,6.417293725,6.509528819,6.591258415,6.587798134,6.61606587,6.626594283,6.618077106,6.649396993,6.66264489
Senegal,SEN,6.821031966,6.857964569,6.772946603,6.363231026,6.566284887,6.578616771,6.473627338,6.523944131,6.522934136,6.404656503,6.422058712,6.487109588,6.713832056,6.846466609,6.901668835,6.94784484,7.108549263,7.252712369,7.183290643,7.15479149,7.225132641,7.19292022,7.226986756,7.24183768,7.105990097,7.146695096,7.216488896,7.290013857
Tanzania,TZA,5.276386319,5.167970195,5.056633108,5.08250274,5.205993085,5.391580857,5.535268952,5.980233425,5.992123541,6.018477217,6.00767905,6.020956225,6.06675682,6.129614936,6.199761185,6.185174112,6.315067778,6.532902465,6.544223706,6.611239349,6.661134551,6.766039261,6.877725813,6.937404288,6.854284296,6.873655041,6.912584719,6.966962063
Zimbabwe,ZWE,6.695863346,6.428707021,6.383033825,6.416512832,6.434883488,6.608129803,6.595709992,6.300756735,6.363150024,6.333382183,6.342800606,6.273877599,6.169626224,6.180013364,6.16658382,6.10446935,6.067932847,5.876876448,6.648464708,6.854704498,6.997279664,7.173935179,7.265430295,7.268849979,7.275913777,7.2893262,7.344828903,7.428773131
Haiti,HTI,6.181824346,5.731304619,5.528447332,5.652905861,5.895134869,5.909799501,6.030133385,6.121487691,6.213214626,6.146645179,6.034913439,5.983013489,5.806984999,5.968796087,6.150085086,6.232386731,6.429417455,6.520392515,6.510313395,6.500730084,6.612333232,6.646064983,6.704193761,6.723680926,6.704081315,6.600280987,6.640826094,6.766585675
India,IND,5.713916305,5.758756425,5.707638378,5.846736275,5.923631217,5.991339731,6.029467685,6.024171143,6.091307076,6.094278759,6.112737046,6.154830038,6.303948887,6.442180623,6.572088137,6.693017897,6.935696046,6.906276525,7.004846454,7.213446989,7.284891916,7.275088887,7.279047014,7.361300135,7.381256182,7.457357822,7.59168564,7.603829674
Pakistan,PAK,6.020682187,6.06179929,6.092422924,6.074116336,6.194164166,6.209024827,6.16621844,6.133868076,6.118705219,6.356447187,6.299857426,6.280964746,6.395889652,6.533551044,6.61863562,6.729657415,6.811349098,6.898559729,6.864843269,6.895085073,7.060455876,7.08849976,7.097469699,7.13182968,7.212786793,7.221437153,7.289605951,7.301354038
Kenya,KEN,5.8063961,5.781167512,5.393944436,5.580605882,5.786219056,6.043438378,6.100043735,6.143992055,6.027505667,5.985151307,5.979719675,5.964973515,6.0632917,6.112948982,6.237575169,6.530811346,6.716191057,6.804692151,6.808080553,6.858237209,6.8789785,7.036035388,7.09869626,7.182203571,7.198096325,7.251719075,7.36031737,7.443070649
