"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111.155578613281","108.901786804199","107.72119140625","108.009101867676","105.322692871094","106.415008544922","107.811141967773","111.646850585938","112.612007141113","110.809577941895","112.123321533203","113.036338806152","103.718521118164","105.402816772461","114.727928161621","115.204681396484","","","","","","",
"Africa Eastern and Southern","AFE","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","8.92240047454834","8.94141960144043","9.18603038787842","9.63943004608154","9.73066997528076","10.4544200897217","11.0695695877075","11.8053798675537","12.6301202774048","","16.289379119873","18.0326099395752","11.4903402328491","","14.0173101425171","15.4714403152466","18.0425205230713","","21.54541015625","20.7373695373535","20.3877105712891","19.2142200469971","","14.8935604095459","26.4933490753174","28.6594009399414","","","","3.84434008598328","0","0","42.8288497924805","66.6979598999023","62.5909996032715","71.8120727539063","77.6684036254883","74.8218383789063","77.982421875","76.5103530883789","80.6354598999023","80.9368286132813","86.3288421630859","85.9021377563477","86.7295989990234","83.5044174194336","82.5583572387695","82.0802764892578","82.8502502441406","","",
"Africa Western and Central","AFW","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","44.2563018798828","49.2487907409668","","","","","","","","","","106.551330566406","94.1347579956055","","","71.4552688598633","71.3728866577148","69.0180816650391","70.5327911376953","69.7545013427734","63.799129486084","59.3859786987305","","","","","","64.8345031738281","","","","","","","","","","96.4358978271484","94.8848190307617","94.0566482543945","92.4563674926758","","","","105.888153076172","","","","","",
"Albania","ALB","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","","115.872802734375","","112.300453186035","109.545036315918","105.628677368164","102.984878540039","102.034172058105","101.950492858887","102.029052734375","102.839408874512","103.106727600098","100.226303100586","100.082366943359","99.7492980957031","99.688720703125","101.441802978516","100.397087097168","100.271362304688","100.879402160645","102.346878051758","104.856506347656","106.128517150879","105.472709655762","104.720268249512","104.04386138916","103.782119750977","101.111778259277","100.494979858398","98.8642425537109","100.95622253418","98.3040924072266","96.7336730957031","95.8065338134766","92.9670333862305","93.8049392700195","95.7837829589844","98.4096374511719","101.15747833252","106.127517700195","107.290176391602","107.533851623535","108.870048522949","109.111228942871","106.44361114502","",
"Andorra","AND","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","92.0473785400391","","","","","","","","104.328453063965","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","52.65939","52.64233","54.12648","55.46295","56.06175","57.50406","59.26984","60.50876","61.31363","64.12458","65.88558","66.70449","67.91039","68.91351","70.06114","70.48393","71.61044","73.12195","73.47815","74.01044","74.86571","75.3194","73.58079","74.41683","76.86598","76.30507","77.01262","79.16918","80.08747","81.55508","82.6064","83.88853","85.35558","86.60583","87.19549","87.89547","88.88958","89.47412","90.65587","91.19877","92.08309","91.42187","93.87269","92.85067","92.77944","92.52657","92.39304","92.61421","92.84049","93.07939","",
"United Arab Emirates","ARE","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","64.3810119628906","68.2360992431641","73.7389907836914","75.5920333862305","76.9177093505859","89.2900238037109","96.0488815307617","96.0912094116211","93.2711791992188","90.4586334228516","86.4760513305664","90.4999618530273","90.9931793212891","91.6328811645508","91.2118835449219","92.7949371337891","93.7306289672852","96.2535705566406","100.638740539551","104.638732910156","105.68920135498","101.256240844727","99.3325729370117","99.4552307128906","99.9745483398438","97.3978576660156","92.9940490722656","89.9012603759766","","","","","","","","","102.089256286621","","","","","100.897560119629","100.074142456055","104.060997009277","111.641647338867","106.671913146973","107.343383789063","","","",
"Argentina","ARG","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","106.13330078125","106.478050231934","105.53621673584","105.139869689941","105.492118835449","105.310279846191","104.956939697266","106.036796569824","106.40022277832","106.20401763916","106.38249206543","106.871017456055","106.832008361816","","105.34880065918","105.854110717773","106.065040588379","106.95369720459","110.343467712402","","106.014358520508","108.163063049316","","","","","109.341751098633","106.784767150879","110.713302612305","114.287666320801","115.166206359863","115.798782348633","116.38907623291","114.078437805176","115.28050994873","114.747077941895","116.849998474121","117.871292114258","118.347579956055","117.63240814209","116.221672058105","114.918640136719","113.538757324219","111.529342651367","111.342552185059","111.235702514648","110.606071472168","109.627777099609","","","",
